date,actual_rv_abs,actual_rv_sq,forecast_rv_abs,forecast_rv_sq,p_calm,regime,rv_abs_error
2024-03-12,0.07979474785970751,0.06450764853771472,0.24764592979443986,0.19760103526188474,0.08018266782164574,STRESS,0.16785118193473236
2024-03-13,0.18980142634580943,0.1931930944191388,0.2827667207264108,0.22569563288697497,0.08018261194229126,STRESS,0.09296529438060136
2024-03-14,0.1828152683693628,0.14588104536700316,0.25718883493713557,0.2056895719891639,0.10321703925728798,STRESS,0.07437356656777278
2024-03-15,0.37482512655517447,0.30616341312790374,0.29117237802095614,0.23289714183145105,0.03987237624824047,STRESS,0.08365274853421834
2024-03-18,0.3566822478053571,0.2889496342621076,0.2800854234735288,0.2248284755874993,0.05138958618044853,STRESS,0.0765968243318283
2024-03-19,0.20074468330063552,0.1916164505765304,0.27715896886552904,0.22136326162271705,0.039872344583272934,STRESS,0.07641428556489352
2024-03-20,0.1599831489539815,0.12789196508077844,0.3068165206078228,0.24484502276933096,0.06866545230150223,STRESS,0.14683337165384128
2024-03-21,0.5019068945646431,0.5130920845123587,0.28908154665858193,0.23158757117345058,0.039872363209724426,STRESS,0.21282534790606117
2024-03-22,0.10949887675643058,0.10527929308288436,0.24189793485396793,0.19304123780847668,0.03411375731229782,STRESS,0.13239905809753735
2024-03-25,0.12621173488553486,0.13345160442902268,0.2781008178726083,0.22194328951571848,0.05138959363102913,STRESS,0.15188908298707346
2024-03-26,0.10475785387297507,0.10441289331374227,0.27117523542340827,0.21641818405292573,0.1147342398762703,STRESS,0.1664173815504332
2024-03-27,0.2608222773902298,0.22414668410814453,0.260369142826968,0.20847369064295546,0.06866543367505074,STRESS,0.00045313456326179224
2024-03-28,0.15279029570849553,0.16515778674930318,0.26055322523699037,0.2087272663903932,0.04563095420598984,STRESS,0.10776292952849484
2024-04-01,0.12128253885935938,0.13226230740049483,0.2573692875717982,0.20667953616997942,0.09169988334178925,STRESS,0.13608674871243884
2024-04-02,0.10555178829847327,0.10318915386364852,0.28223387519943116,0.22823139033493278,0.10321708768606186,STRESS,0.17668208690095788
2024-04-03,0.14011146520240925,0.12207970622854959,0.2795561672882584,0.22348139212255974,0.10321704670786858,STRESS,0.13944470208584914
2024-04-04,0.3402160694583061,0.2753889484740617,0.28977365949403394,0.2316339688481369,0.06290682218968868,STRESS,0.050442409964272183
2024-04-05,0.16245394853731096,0.13412744826522288,0.3050991584445151,0.24362167891650696,0.03411375358700752,STRESS,0.1426452099072041
2024-04-08,0.09742305849906438,0.08005424465043454,0.24633673596847938,0.1992601254549643,0.051389578729867935,STRESS,0.148913677469415
2024-04-09,0.09991223599360076,0.08073317989519076,0.24940915482134787,0.1990310283375979,0.09169985726475716,STRESS,0.14949691882774713
2024-04-10,0.1291874670149843,0.11501561433864528,0.2797823489797387,0.2235080622544654,0.09745845571160316,STRESS,0.1505948819647544
2024-04-11,0.5629758782459353,0.46896171408731435,0.27019818794209155,0.21580305205833322,0.04563094675540924,STRESS,0.29277769030384376
2024-04-12,0.1583883465127589,0.16650417038967152,0.31658154355167484,0.2530588651985592,0.045630985870957375,STRESS,0.15819319703891593
2024-04-15,0.31451244227772096,0.25276293735558947,0.24903260032724556,0.19903681527750264,0.03411375358700752,STRESS,0.0654798419504754
2024-04-16,0.35411333119280924,0.3623349240442923,0.2307073960233256,0.1840919341284336,0.045630987733602524,STRESS,0.12340593516948364
2024-04-17,0.11166791149404033,0.10878276775279638,0.2657755339302351,0.21208166717401036,0.045630959793925285,STRESS,0.1541076224361948
2024-04-18,0.12436226946388931,0.12686511224947994,0.2406766502896642,0.19239960992279068,0.04563097283244133,STRESS,0.11631438082577489
2024-04-19,0.16867892046253946,0.16966591375073808,0.25615650641170923,0.20438737803359844,0.08018264174461365,STRESS,0.08747758594916977
2024-04-22,0.08248169488327405,0.08157608682497729,0.26162542223917723,0.20881010006767708,0.09745844826102257,STRESS,0.17914372735590317
2024-04-23,0.11584576551078839,0.09316369578930862,0.23246300045673662,0.18575208952021552,0.10321704670786858,STRESS,0.11661723494594824
2024-04-24,0.1590993146219417,0.13516108592449028,0.24366622625655074,0.19930058352170615,0.08018264546990395,STRESS,0.08456691163460903
2024-04-25,0.08963976995662695,0.07402840713118124,0.2540772602716282,0.20272486110809929,0.1320100761950016,STRESS,0.16443749031500124
2024-04-26,0.05055965581220055,0.05432175125912688,0.2560002335487387,0.20429017377559067,0.1262514665722847,STRESS,0.20544057773653812
2024-04-29,0.4931824943097326,0.4799937547603749,0.27299921859972204,0.21784165537558894,0.06290681473910809,STRESS,0.22018327571001056
2024-04-30,0.3460772531359021,0.3700891161830789,0.2684544879381015,0.21442227577584805,0.05714820325374603,STRESS,0.07762276519780059
2024-05-01,0.18317742702316242,0.14663718242667703,0.22391205703618924,0.17866075195991038,0.03411374054849148,STRESS,0.040734630013026824
2024-05-02,1.2113513671546774,1.1869638123443491,0.2430848789674103,0.19680726363489945,0.04563097283244133,STRESS,0.9682664881872671
2024-05-03,0.1150937401843926,0.09430636762663583,0.2918795193881967,0.23403816991522805,0.028355125337839127,STRESS,0.17678577920380406
2024-05-06,0.19804595064612246,0.20050263176249927,0.2725243097272405,0.21989662919980962,0.03987234644591808,STRESS,0.07447835908111805
2024-05-07,0.04403747405740484,0.04514550344165258,0.2586121616866383,0.20650260697503653,0.051389576867222786,STRESS,0.21457468762923348
2024-05-08,0.03627512574620816,0.029002188473583376,0.2610716245664778,0.20836138517543756,0.09169985726475716,STRESS,0.22479649882026964
