ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-03-12 09:00:00+00:00,34,2,2418,196.91,196.91,195.1,195.9,681,DIS
2021-03-12 10:00:00+00:00,34,2,2418,195.9,196.41,195.54,196.3,247,DIS
2021-03-12 11:00:00+00:00,34,2,2418,196.0,196.4,195.91,196.36,528,DIS
2021-03-12 12:00:00+00:00,34,2,2418,196.36,197.5,195.99,197.5,4326,DIS
2021-03-12 13:00:00+00:00,34,2,2418,197.65,197.85,196.5,197.58,6059,DIS
2021-03-12 14:00:00+00:00,34,2,2418,197.56,197.56,195.2,195.81,310490,DIS
2021-03-12 15:00:00+00:00,34,2,2418,195.84,198.4,195.48,197.53,369659,DIS
2021-03-12 16:00:00+00:00,34,2,2418,197.56,197.83,196.8,196.83,239656,DIS
2021-03-12 17:00:00+00:00,34,2,2418,196.82,197.23,195.91,196.94,292692,DIS
2021-03-12 18:00:00+00:00,34,2,2418,196.95,197.0,196.09,196.21,68787,DIS
2021-03-12 19:00:00+00:00,34,2,2418,196.17,197.64,196.14,197.04,432047,DIS
2021-03-12 20:00:00+00:00,34,2,2418,197.07,197.45,196.63,197.14,273604,DIS
2021-03-12 21:00:00+00:00,34,2,2418,197.16,197.47,196.62,197.47,847,DIS
2021-03-12 22:00:00+00:00,34,2,2418,197.16,197.26,197.1,197.26,533,DIS
2021-03-12 23:00:00+00:00,34,2,2418,197.22,197.28,197.22,197.23,475,DIS
2021-03-15 08:00:00+00:00,34,2,2421,197.62,198.4,197.48,198.4,176,DIS
2021-03-15 09:00:00+00:00,34,2,2421,199.13,199.71,198.98,199.12,1430,DIS
2021-03-15 10:00:00+00:00,34,2,2421,199.06,199.09,198.46,198.61,1693,DIS
2021-03-15 11:00:00+00:00,34,2,2421,198.61,199.27,198.02,198.4,1704,DIS
2021-03-15 12:00:00+00:00,34,2,2421,198.3,198.36,198.11,198.33,3500,DIS
2021-03-15 13:00:00+00:00,34,2,2421,198.31,198.79,195.72,196.08,285050,DIS
2021-03-15 14:00:00+00:00,34,2,2421,196.03,196.85,195.37,196.2,334115,DIS
2021-03-15 15:00:00+00:00,34,2,2421,196.16,196.61,195.65,196.08,322705,DIS
2021-03-15 16:00:00+00:00,34,2,2421,196.07,196.11,195.46,195.72,74596,DIS
2021-03-15 17:00:00+00:00,34,2,2421,195.77,196.09,195.5,195.99,81962,DIS
2021-03-15 18:00:00+00:00,34,2,2421,196.0,196.07,195.2,195.5,141626,DIS
2021-03-15 19:00:00+00:00,34,2,2421,195.51,196.81,194.81,196.73,203171,DIS
2021-03-15 20:00:00+00:00,34,2,2421,196.69,196.79,196.26,196.43,1956,DIS
2021-03-15 21:00:00+00:00,34,2,2421,196.67,196.7,196.42,196.7,261,DIS
2021-03-15 22:00:00+00:00,34,2,2421,196.56,196.56,196.55,196.55,361,DIS
2021-03-15 23:00:00+00:00,34,2,2421,196.45,196.45,196.05,196.05,450,DIS
2021-03-16 08:00:00+00:00,34,2,2420,196.65,196.75,196.01,196.12,106,DIS
2021-03-16 09:00:00+00:00,34,2,2420,196.76,196.89,196.27,196.48,678,DIS
2021-03-16 10:00:00+00:00,34,2,2420,196.39,196.69,196.34,196.52,430,DIS
2021-03-16 11:00:00+00:00,34,2,2420,196.5,197.34,196.5,197.05,1464,DIS
2021-03-16 12:00:00+00:00,34,2,2420,197.05,197.24,196.65,196.8,3329,DIS
2021-03-16 13:00:00+00:00,34,2,2420,196.81,197.13,194.16,195.04,103531,DIS
2021-03-16 14:00:00+00:00,34,2,2420,195.05,195.08,193.75,194.35,168014,DIS
2021-03-16 15:00:00+00:00,34,2,2420,194.32,194.84,193.86,194.42,229600,DIS
2021-03-16 16:00:00+00:00,34,2,2420,194.41,194.48,192.88,193.55,132516,DIS
2021-03-16 17:00:00+00:00,34,2,2420,193.57,193.83,193.11,193.11,77312,DIS
2021-03-16 18:00:00+00:00,34,2,2420,193.14,194.35,192.95,194.13,99834,DIS
2021-03-16 19:00:00+00:00,34,2,2420,194.12,195.02,193.85,194.22,208296,DIS
2021-03-16 20:00:00+00:00,34,2,2420,194.14,194.39,193.8,193.99,2204,DIS
2021-03-16 21:00:00+00:00,34,2,2420,194.01,194.17,193.81,194.02,513,DIS
2021-03-16 22:00:00+00:00,34,2,2420,194.09,194.09,193.79,193.95,423,DIS
2021-03-16 23:00:00+00:00,34,2,2420,193.8,193.8,193.44,193.44,162,DIS
2021-03-17 09:00:00+00:00,34,2,2425,194.04,194.04,193.68,193.68,87,DIS
2021-03-17 10:00:00+00:00,34,2,2425,193.65,193.99,193.65,193.85,143,DIS
2021-03-17 11:00:00+00:00,34,2,2425,193.85,194.01,193.1,193.16,4205,DIS
2021-03-17 12:00:00+00:00,34,2,2425,193.49,193.86,192.43,193.31,4190,DIS
