date,actual_rv,forecast_rv,forecast_std,error,abs_error,p_calm,p_stress,regime,regime_stability,actual_direction,forecast_direction
2024-03-01,0.2541947142981787,0.15904540384095683,0.01592043502312963,-0.09514931045722186,0.09514931045722186,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,0
2024-03-04,0.26372685862587614,0.23787205259055957,0.034801969798316706,-0.025854806035316563,0.025854806035316563,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-03-05,0.23575712086907982,0.26669184252642986,0.018249356606841023,0.030934721657350034,0.030934721657350034,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-03-06,0.23810870418825417,0.23972090756438658,0.01796610474607429,0.0016122033761324095,0.0016122033761324095,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,0
2024-03-07,0.23439074531849124,0.24069708287084854,0.0180436279879698,0.006306337552357294,0.006306337552357294,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-03-08,0.2403359154763882,0.24263401704477358,0.05114379565261125,0.002298101568385391,0.002298101568385391,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-03-11,0.23692524055052058,0.24267142926170332,0.01045436968409929,0.005746188711182737,0.005746188711182737,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-03-12,0.21701852264064195,0.2398834416179604,0.011432959952781568,0.02286491897731846,0.02286491897731846,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,0
2024-03-13,0.16827630978096475,0.2254130789051952,0.015710225478854496,0.05713676912423046,0.05713676912423046,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,0
2024-03-14,0.22698391346896513,0.17895333518703332,0.06859027265197035,-0.0480305782819318,0.0480305782819318,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,0
2024-03-15,0.2607878095458233,0.2224198106341087,0.009526828226764485,-0.03836799891171461,0.03836799891171461,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-03-18,0.30752178761543086,0.2576914260623888,0.016214082105567157,-0.049830361553042046,0.049830361553042046,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-03-19,0.1496694466161524,0.30094966474411466,0.01404763245259091,0.15128021812796227,0.15128021812796227,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-03-20,0.20414658869060553,0.1598508633139666,0.02204609844035479,-0.04429572537663892,0.04429572537663892,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,0
2024-03-21,0.3697099557708669,0.20308072246475853,0.01055299145821109,-0.16662923330610838,0.16662923330610838,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-03-22,0.1795609098383512,0.34827638671773653,0.04138144307734543,0.16871547687938532,0.16871547687938532,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-03-25,0.13106127780445626,0.18641945794364007,0.03525739586405315,0.05535818013918381,0.05535818013918381,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,0
2024-03-26,0.15197218784931593,0.13335357964232167,0.024446361285918428,-0.018618608206994264,0.018618608206994264,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,0
2024-03-27,0.20911157042179707,0.1524090765480792,0.015511382898864801,-0.05670249387371787,0.05670249387371787,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-03-28,0.14647841067214143,0.21899183805196018,0.050706256923901946,0.07251342737981875,0.07251342737981875,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-04-01,0.14302284576471827,0.15427122631444534,0.016556008229862185,0.011248380549727072,0.011248380549727072,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,0
2024-04-02,0.08202794624127299,0.1548377542790378,0.03579886862717614,0.0728098080377648,0.0728098080377648,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-04-03,0.17040635360622566,0.09156573804554369,0.024775254745749695,-0.07884061556068198,0.07884061556068198,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,0
2024-04-04,0.16936881754100444,0.18655339680406766,0.0646822713397171,0.017184579263063215,0.017184579263063215,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-04-05,0.08885531578308437,0.1844780252933465,0.05819358023559825,0.09562270951026214,0.09562270951026214,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,0
2024-04-08,0.07736521921588904,0.096335802333046,0.042223319665472846,0.018970583117156964,0.018970583117156964,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,0
2024-04-09,0.16580234151570955,0.096339438791895,0.08092910076734679,-0.06946290272381456,0.06946290272381456,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-04-10,0.2298981722090118,0.15840172638162833,0.015542943321164116,-0.07149644582738346,0.07149644582738346,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-04-11,0.31288743603020597,0.2283055829218314,0.05098908049062647,-0.08458185310837457,0.08458185310837457,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-04-12,0.457510256518425,0.3009425938519083,0.005411840181891028,-0.15656766266651667,0.15656766266651667,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,1
2024-04-15,0.26557131282661817,0.42729831027714715,0.032123317845569384,0.161726997450529,0.161726997450529,0.9668306112289429,0.03316955268383026,CALM,0.9775006771087646,0,1
2024-04-16,0.3636350365633517,0.2853776206610116,0.010102925128767055,-0.07825741590234014,0.07825741590234014,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,0
2024-04-17,0.13838986190042324,0.351818063287073,0.03505646535060767,0.21342820138664975,0.21342820138664975,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,1
2024-04-18,0.12593131292720722,0.1546119544275751,0.04052209936521342,0.028680641500367893,0.028680641500367893,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,0,0
2024-04-19,0.22648221484652098,0.1327601499632664,0.04939470339185992,-0.09372206488325457,0.09372206488325457,0.977500855922699,0.022499337792396545,CALM,0.9775006771087646,1,0
