ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-03-12 10:00:00+00:00,34,2,9275,345.84,345.84,345.84,345.84,5,UNH
2021-03-12 12:00:00+00:00,34,2,9275,353.09,353.09,353.09,353.09,12,UNH
2021-03-12 13:00:00+00:00,34,2,9275,352.61,352.61,352.61,352.61,34,UNH
2021-03-12 14:00:00+00:00,34,2,9275,352.23,355.6,351.25,354.35,26793,UNH
2021-03-12 15:00:00+00:00,34,2,9275,354.395,355.62,353.41,354.74,34468,UNH
2021-03-12 16:00:00+00:00,34,2,9275,354.82,355.17,354.08,354.58,25060,UNH
2021-03-12 17:00:00+00:00,34,2,9275,354.49,354.82,353.9,354.43,24734,UNH
2021-03-12 18:00:00+00:00,34,2,9275,354.37,355.23,353.88,355.07,18282,UNH
2021-03-12 19:00:00+00:00,34,2,9275,355.02,355.34,353.68,354.0,23633,UNH
2021-03-12 20:00:00+00:00,34,2,9275,354.03,356.81,353.5,356.02,77039,UNH
2021-03-12 21:00:00+00:00,34,2,9275,355.79,355.79,355.13,355.13,42,UNH
2021-03-15 10:00:00+00:00,34,2,9290,356.02,356.02,356.02,356.02,3,UNH
2021-03-15 12:00:00+00:00,34,2,9290,355.21,355.21,355.02,355.02,184,UNH
2021-03-15 13:00:00+00:00,34,2,9290,355.5,357.88,354.68,355.05,24103,UNH
2021-03-15 14:00:00+00:00,34,2,9290,355.12,355.63,352.71,353.71,34527,UNH
2021-03-15 15:00:00+00:00,34,2,9290,353.53,353.81,351.87,352.35,28910,UNH
2021-03-15 16:00:00+00:00,34,2,9290,352.25,353.715,352.115,353.06,20097,UNH
2021-03-15 17:00:00+00:00,34,2,9290,353.11,353.73,352.4,352.75,26757,UNH
2021-03-15 18:00:00+00:00,34,2,9290,352.73,353.57,352.2,352.77,27463,UNH
2021-03-15 19:00:00+00:00,34,2,9290,352.74,354.51,351.59,353.93,75431,UNH
2021-03-15 20:00:00+00:00,34,2,9290,353.74,354.0,353.74,354.0,76,UNH
2021-03-15 21:00:00+00:00,34,2,9290,354.0,354.0,354.0,354.0,5,UNH
2021-03-15 23:00:00+00:00,34,2,9290,353.88,353.88,353.88,353.88,4,UNH
2021-03-16 13:00:00+00:00,34,2,9298,352.63,355.22,352.63,354.01,19099,UNH
2021-03-16 14:00:00+00:00,34,2,9298,354.02,355.38,352.93,353.35,21329,UNH
2021-03-16 15:00:00+00:00,34,2,9298,353.34,354.22,352.77,353.01,26683,UNH
2021-03-16 16:00:00+00:00,34,2,9298,352.985,353.33,352.29,352.8,14418,UNH
2021-03-16 17:00:00+00:00,34,2,9298,352.81,353.22,351.9,352.12,18441,UNH
2021-03-16 18:00:00+00:00,34,2,9298,352.07,354.59,352.07,354.49,32597,UNH
