timestamp,date,session,actual_abs_return,forecast_abs_return,forecast_std,error,abs_error,p_calm,p_stress,regime
2025-06-02 13:00:00,2025-06-02,AM,0.0016939023579958979,0.008527744102942334,0.0058614593840002685,0.006833841744946436,0.006833841744946436,0.45094671845436096,0.5490532517433167,STRESS
2025-06-02 17:00:00,2025-06-02,PM,0.005510202827146947,0.00763966902427472,0.005757066304512658,0.0021294661971277733,0.0021294661971277733,0.6237677335739136,0.3762322664260864,CALM
2025-06-03 13:00:00,2025-06-03,AM,0.005652312374239542,0.006837724463873304,0.007082572221743039,0.0011854120896337625,0.0011854120896337625,0.6717736124992371,0.32822638750076294,CALM
2025-06-03 17:00:00,2025-06-03,PM,0.0013053385265833046,0.007831478175593322,0.007388949482940079,0.006526139649010018,0.006526139649010018,0.6429700255393982,0.3570299446582794,CALM
2025-06-04 13:00:00,2025-06-04,AM,0.001625255842990758,0.007293761424961149,0.006976750477013195,0.005668505581970391,0.005668505581970391,0.7005770802497864,0.2994229793548584,CALM
2025-06-04 17:00:00,2025-06-04,PM,0.0035988108549833316,0.006047400500725001,0.006514605844455404,0.0024485896457416695,0.0024485896457416695,0.7389817833900452,0.26101839542388916,CALM
2025-06-05 13:00:00,2025-06-05,AM,0.003165811904066266,0.006208673335644219,0.005746477343879773,0.0030428614315779526,0.0030428614315779526,0.6909760236740112,0.3090241253376007,CALM
2025-06-05 17:00:00,2025-06-05,PM,0.005664048530509931,0.00631656256307461,0.006193101059293453,0.0006525140325646791,0.0006525140325646791,0.7005770802497864,0.2994230389595032,CALM
2025-06-06 13:00:00,2025-06-06,AM,0.009866462447580635,0.005953365754481172,0.005978772189415951,-0.003913096693099463,0.003913096693099463,0.6525712609291077,0.3474287688732147,CALM
2025-06-06 17:00:00,2025-06-06,PM,0.0065893236057838886,0.0065015171826560084,0.00541357436127273,-8.780642312788012e-05,8.780642312788012e-05,0.6621723771095276,0.33782759308815,CALM
2025-06-09 13:00:00,2025-06-09,AM,0.0032784508115868086,0.008289048049840295,0.0064907461144349254,0.005010597238253487,0.005010597238253487,0.5853631496429443,0.41463688015937805,CALM
2025-06-09 17:00:00,2025-06-09,PM,0.015855371789794077,0.00716143181713683,0.005517588334233562,-0.008693939972657248,0.008693939972657248,0.6909759640693665,0.3090241551399231,CALM
