timestamp,date,hour,actual_return,forecast_return,forecast_std,return_error,p_calm,p_stress,regime,actual_rv,forecast_rv,model_sigma_rv,rv_error,rv_abs_error,sigma_error,sigma_abs_error
2025-06-02 15:00:00,2025-06-02,15,-0.002137018431256929,0.00010373977327878203,0.005777927675393159,0.002240758204535711,0.0014018795918673277,0.9985973834991455,STRESS,0.40934163389673023,0.08641176100285355,0.2594283092025648,-0.32292987289387665,0.32292987289387665,-0.1499133246941654,0.1499133246941654
2025-06-02 16:00:00,2025-06-02,16,-0.0005474134850178183,-0.000907788925141935,0.004976566711153172,-0.00036037544012411675,0.0014018795918673277,0.9985973834991455,STRESS,0.3444793585675665,0.07255073657908372,0.2234472911467148,-0.2719286219884828,0.2719286219884828,-0.12103206742085171,0.12103206742085171
2025-06-02 17:00:00,2025-06-02,17,4.977724683079788e-05,0.0011776571269283042,0.004893067048162675,0.0011278798800975062,0.0014018795918673277,0.9985973834991455,STRESS,0.3444792416842421,0.08518408518724009,0.21969816557685648,-0.259295156497002,0.259295156497002,-0.12478107610738562,0.12478107610738562
2025-06-02 18:00:00,2025-06-02,18,0.0017903326842984414,0.0005023915477092417,0.004978487159209824,-0.0012879411365891997,0.0014018795918673277,0.9985973834991455,STRESS,0.3495819934133743,0.07929253033153655,0.22353351905059987,-0.27028946308183777,0.27028946308183777,-0.12604847436277444,0.12604847436277444
2025-06-02 19:00:00,2025-06-02,19,0.0025803904750460655,-0.0009627569087248431,0.004828904442124437,-0.0035431473837709087,0.0014018795918673277,0.9985973834991455,STRESS,0.3669320528916115,0.09021666623449755,0.21681727171080478,-0.276715386657114,0.276715386657114,-0.15011478118080673,0.15011478118080673
2025-06-02 20:00:00,2025-06-02,20,0.0010897024209715602,0.00037193979403821393,0.0048700353110286984,-0.0007177626269333463,0.0014018795918673277,0.9985973834991455,STRESS,0.3701182651142881,0.09174470307358329,0.2186640431443255,-0.2783735620407048,0.2783735620407048,-0.15145422196996258,0.15145422196996258
2025-06-02 21:00:00,2025-06-02,21,-0.0004951720824129487,-7.609226401102803e-05,0.004687322682638713,0.0004190798184019207,0.0014018795918673277,0.9985973834991455,STRESS,0.19412718091142184,0.09088145399534343,0.21046026647625823,-0.1032457269160784,0.1032457269160784,0.016333085564836397,0.016333085564836397
2025-06-02 22:00:00,2025-06-02,22,-0.001288596104361825,-0.0006688868236398257,0.005226751444988117,0.0006197092807219994,0.0014018795918673277,0.9985973834991455,STRESS,0.1895701792700518,0.08971617900550741,0.23468055783565392,-0.09985400026454438,0.09985400026454438,0.04511037856560213,0.04511037856560213
2025-06-02 23:00:00,2025-06-02,23,-0.0011909489299680596,7.75854539269792e-05,0.004994812604436877,0.0012685343838950388,0.0014018795918673277,0.9985973834991455,STRESS,0.1720159882401988,0.08966287983632978,0.22426652972331396,-0.08235310840386903,0.08235310840386903,0.05225054148311514,0.05225054148311514
2025-06-03 08:00:00,2025-06-03,8,-0.001739346941178912,-0.0002637149754646103,0.00551356436084904,0.0014756319657143017,0.0014018795918673277,0.9985973834991455,STRESS,0.18730841782152166,0.08073592242355813,0.24755842581869228,-0.10657249539796353,0.10657249539796353,0.06025000799717062,0.06025000799717062
2025-06-03 09:00:00,2025-06-03,9,0.0008452035206214848,1.5804323251252242e-05,0.005129534217938409,-0.0008293991973702325,0.0014018795918673277,0.9985973834991455,STRESS,0.19110106247797534,0.06101516271491912,0.2303155151671073,-0.13008589976305623,0.13008589976305623,0.03921445268913196,0.03921445268913196
2025-06-03 10:00:00,2025-06-03,10,0.0002484533790017406,-0.0003544662394053907,0.004016769873402995,-0.0006029196184071313,0.0014018795918673277,0.9985973834991455,STRESS,0.1737302363140291,0.05888395504063715,0.18035252001347216,-0.11484628127339194,0.11484628127339194,0.006622283699443066,0.006622283699443066
2025-06-03 11:00:00,2025-06-03,11,0.0014894253572617718,-0.0020122532650347744,0.005499357409884483,-0.003501678622296546,0.0014018795918673277,0.9985973834991455,STRESS,0.14570895771461176,0.09880182707478996,0.24692053530245142,-0.0469071306398218,0.0469071306398218,0.10121157758783966,0.10121157758783966
2025-06-03 12:00:00,2025-06-03,12,0.0017348637526800254,-0.0007574841304988829,0.004975751611892763,-0.0024923478831789083,0.0014018795918673277,0.9985973834991455,STRESS,0.1578127337081754,0.10314869905342826,0.22341069328069083,-0.05466403465474713,0.05466403465474713,0.06559795957251544,0.06559795957251544
2025-06-03 13:00:00,2025-06-03,13,0.0031645596029631616,-0.0003420041273445791,0.005036689829290428,-0.003506563730307741,0.0014018795918673277,0.9985973834991455,STRESS,0.21118629447217907,0.10422948971389609,0.22614681245584453,-0.10695680475828298,0.10695680475828298,0.014960517983665461,0.014960517983665461
2025-06-03 14:00:00,2025-06-03,14,-0.0024962013876011625,-0.00038905865101449623,0.004162284186750183,0.0021071427365866664,0.0014018795918673277,0.9985973834991455,STRESS,0.23197815097680535,0.10132602795440618,0.18688609647847426,-0.13065212302239917,0.13065212302239917,-0.04509205449833109,0.04509205449833109
2025-06-03 15:00:00,2025-06-03,15,0.004271875130278961,0.0003537214185382755,0.005213075890730145,-0.003918153711740685,0.0014018795918673277,0.9985973834991455,STRESS,0.29621658799740364,0.10250399118565481,0.2340665269723631,-0.19371259681174882,0.19371259681174882,-0.06215006102504053,0.06215006102504053
2025-06-03 16:00:00,2025-06-03,16,0.001108197076955201,-0.00019176132443744662,0.005563458365175448,-0.0012999584013926476,0.0014018795918673277,0.9985973834991455,STRESS,0.29003630347193465,0.10218119921294944,0.24979866105681592,-0.18785510425898522,0.18785510425898522,-0.040237642415118735,0.040237642415118735
2025-06-03 17:00:00,2025-06-03,17,0.0003691262822909686,0.0004181377542283172,0.004227835025765738,4.9011471937348585e-05,0.0014018795918673277,0.9985973834991455,STRESS,0.2880200998840433,0.10388921846288883,0.18982932185061563,-0.18413088142115447,0.18413088142115447,-0.09819077803342768,0.09819077803342768
