entry_date,exit_date,days_held,strike,entry_iv,exit_iv,iv_change,iv_change_pct,entry_credit,exit_cost,option_pnl,gamma_pnl,theta_pnl,delta_hedge_pnl,hedge_pnl,gross_pnl,entry_tc,exit_tc,hedge_rebalance_costs,hedge_unwind_cost,net_pnl,garch_forecast,num_straddles,iv_entry_percentile,exit_reason
2020-07-02,2020-07-09,7,180.0,0.6866292001634388,0.7510380945634758,0.06440889440003705,6.440889440003705,6780.0,6740.000000000001,39.99999999999909,-327.456053202422,349.57147457682834,-388.8334502211388,-390.547271737769,-350.5472717377699,2.8406800000000003,2.84044,2.0687509228836443,0.3513755914736745,-356.5797673292436,0.23610259492618985,2,50.0,Day 7 stop loss (IV 6.4%)
2020-07-10,2020-07-13,3,180.0,0.6932483785792485,0.7562029760785376,0.06295459749928911,6.295459749928911,6730.0,7090.000000000001,-360.0000000000009,-14.740750254256776,88.44501204012003,-40.172242092268654,-40.57021654638533,-400.57021654638623,2.84038,2.84254,0.7511124744110362,0.3781214089079608,-406.6312579552942,0.23610259492618985,2,50.0,Day 3 stop loss (IV 6.3%)
2020-07-14,2020-07-17,3,180.0,0.7846850112766748,0.6996608499985386,-0.08502416127813617,-8.502416127813618,7984.999999999999,6684.999999999999,1300.0,-248.78169950402022,250.38463344547426,-311.8042516644034,-313.0925857403296,986.9074142596704,2.84791,2.84011,1.6432324770439843,0.37164209114006597,980.8477521685304,0.23610259492618985,2,50.0,Day 3 take profit (IV -8.5%)
2020-07-20,2020-07-24,4,175.0,0.693882773590007,0.655778139438874,-0.03810463415113308,-3.8104634151133077,6345.0,5700.0,645.0,-74.652161105777,326.46636730631735,-82.0922535051151,-83.63387072895704,561.366129271043,2.83807,2.8342,1.895321810940797,0.41318833049624254,555.2806709405467,0.23610259492618985,2,50.0,Day 4 take profit (IV -3.8%)
2020-08-03,2020-08-14,11,162.5,0.5609900406812077,0.5210441313495684,-0.03994590933163933,-3.994590933163933,7200.0,7200.0,0.0,-873.0192391030424,807.7128704341405,503.0078411867257,499.4880798412354,499.4880798412354,4.2432,4.2432,3.874590175356326,1.393660779043848,489.60801906219154,0.2452203747106117,3,50.0,Day 11 take profit (IV -4.0%)
2020-08-17,2020-08-27,10,172.5,0.5439144772270291,0.589689000552869,0.045774523325839866,4.577452332583986,7365.0,6952.5,412.5,-634.9142977648507,817.6011962454605,-574.949591278875,-578.2671830919638,-165.76718309196383,4.244190000000001,4.241715,3.6719104445350363,0.5386358409394334,-174.79172393290327,0.2022841067700088,3,50.0,Day 10 stop loss (IV 4.6%)
2020-08-28,2020-09-03,6,175.0,0.6069487173983718,0.7026241158713026,0.09567539847293083,9.567539847293084,5759.999999999999,6085.0,-325.0000000000009,-134.43080511350146,295.62930160066264,-176.17169661732373,-177.61273183215127,-502.6127318321522,2.83456,2.83651,1.79562934416994,0.3516941286712987,-508.63549596082345,0.2022841067700088,2,50.0,Day 6 stop loss (IV 9.6%)
2020-09-04,2020-09-10,6,170.0,0.6297317081688367,0.5928572069682322,-0.03687450120060454,-3.6874501200604537,5845.0,5185.0,660.0,-239.08598156213372,195.47086347248205,-136.00938054380873,-137.39963475565213,522.6003652443478,2.8350700000000004,2.8311100000000002,1.7451684876914693,0.35969198297139715,516.5744932613765,0.22264046186380954,2,50.0,Day 6 take profit (IV -3.7%)
2020-09-11,2020-09-15,4,160.0,0.6160696096982305,0.5349293627291885,-0.0811402469690421,-8.11402469690421,7995.0,6667.5,1327.5,-105.01857838864875,184.94989871353783,28.72908012800059,27.96267888578572,1355.4626788857856,4.2479700000000005,4.240005,1.1225035034041517,0.6106818955867933,1346.3640219901988,0.22264046186380954,3,50.0,Day 4 take profit (IV -8.1%)
2020-09-16,2020-09-24,8,167.5,0.5601167837101152,0.6327385570155226,0.07262177330540742,7.262177330540743,7822.5,9172.5,-1350.0,-465.42333946562184,515.82453186743,770.8161356544387,767.9788604437347,-582.0211395562653,4.246935000000001,4.255035,3.19271308883854,0.486854496239945,-591.0099640525053,0.22264046186380954,3,50.0,Day 8 stop loss (IV 7.3%)
